timestamp,temperature,relative_humidity,
58264,19.4891,18.5524,
58324,19.558,18.2237,
58385,19.5877,18.8088,
58445,19.5799,18.6934,
58505,19.589,18.4789,
58565,19.5841,18.9759,
58625,19.6333,18.0407,
58686,19.6526,18.5924,
58746,19.6888,19.498,
58806,19.7134,18.7525,
58866,19.7399,21.7355,
58926,19.7256,19.2238,
58986,19.7145,19.0866,
59047,19.6892,18.4119,
59107,19.7067,18.8094,
59167,19.6733,18.2955,
59227,19.685,18.4269,
59287,19.6903,18.3034,
59348,19.6722,18.4937,
59408,19.7136,19.1185,
59468,19.6918,18.8011,
59528,19.6735,18.7642,
59588,19.708,18.7725,
59649,19.7202,18.6754,
59709,19.7185,18.4769,
59769,19.7266,18.9942,
59829,19.7271,18.6463,
59889,19.7067,18.2024,
59949,19.6938,18.2803,
60010,19.7325,18.1025,
60070,19.7,18.1428,
60130,19.6615,17.9083,
60190,19.6865,17.6223,
60250,19.7189,17.6922,
60311,19.689,17.4358,
60371,19.6958,17.5838,
60431,19.709,17.6405,
60491,19.7243,17.6202,
