timestamp,temperature,relative_humidity,
2,21.9404,17.2909,
12,21.9973,16.681,
22,21.9521,16.1016,
32,21.9696,16.1553,
42,21.903,16.0641,
52,21.875,16.0312,
62,21.8653,16.0636,
72,21.8357,16.1263,
82,21.7832,16.0237,
92,21.7821,16.0305,
102,21.7281,16.0706,
112,21.7186,16.0518,
122,21.6675,16.0079,
132,21.6551,16.0101,
142,21.6648,15.8747,
152,21.6415,15.8842,
162,21.6266,15.9236,
172,21.5502,16.0348,
182,21.5532,15.997,
192,21.5471,15.8999,
202,21.5403,15.7665,
212,21.4695,15.7375,
222,21.4571,15.6745,
232,21.4424,15.6331,
242,21.4107,15.7867,
252,21.435,15.8277,
262,21.3625,15.988,
272,21.4033,15.9224,
282,21.3701,15.899,
292,21.3371,15.9839,
302,21.3384,16.0166,
312,21.3144,16.019,
322,21.2953,16.0742,
332,21.2837,16.1852,
342,21.2864,16.2353,
352,21.3037,16.1858,
362,21.2242,16.0766,
372,21.224,16.0488,
382,21.2309,16.1228,
392,21.252,16.188,
402,21.237,16.1959,
412,21.2368,16.2334,
422,21.2105,16.2306,
432,21.2137,16.2728,
442,21.158,16.3393,
452,21.1704,16.4332,
462,21.1403,16.4145,
472,21.1561,16.4741,
482,21.1437,16.3867,
492,21.137,16.3573,
502,21.1159,16.3858,
512,21.1103,16.4443,
522,21.1437,16.4969,
532,21.1071,16.5316,
542,21.0943,16.3995,
552,21.0951,16.3701,
562,21.0993,16.377,
572,21.0991,16.2638,
582,21.1176,16.2248,
592,21.114,16.1497,
602,21.0735,16.0946,
612,21.0529,16.1487,
622,21.0728,16.2125,
632,21.0474,16.2584,
642,21.0634,16.2662,
652,21.0546,16.2218,
662,21.0584,16.1357,
672,21.0291,16.1828,
682,21.0464,16.3512,
692,21.0127,16.5304,
702,21.0363,16.5877,
712,21.0381,16.5461,
722,20.9959,16.5066,
732,20.9997,16.4134,
742,20.9883,16.4581,
752,20.9946,16.4417,
762,20.982,16.4337,
772,20.9896,16.4349,
782,21.0117,16.5297,
792,21.0049,16.586,
802,20.9974,16.603,
812,20.9873,16.4955,
822,20.96,16.4502,
832,20.9558,16.4576,
842,20.9667,16.6176,
852,20.9429,16.7647,
862,20.9308,16.8301,
872,20.9404,16.7464,
882,20.923,16.7718,
892,20.9293,16.7687,
902,20.9129,16.8601,
912,20.9589,16.8639,
922,20.9753,16.8576,
932,20.9618,16.9191,
942,20.9127,16.9893,
952,20.9145,16.9846,
962,20.9423,16.8585,
972,20.9299,16.6791,
982,20.9156,16.7138,
992,20.9543,16.8572,
1002,20.9425,16.86,
1012,20.9146,16.8854,
1022,20.9507,16.8372,
1032,20.9118,16.8079,
1042,20.9053,16.5477,
1052,20.9335,16.5232,
1062,20.8948,16.3671,
1072,20.8982,16.5347,
1082,20.9436,16.5893,
1092,20.9229,16.4845,
1102,20.9198,16.3739,
1112,20.9297,16.2591,
1122,20.9207,16.3787,
1132,20.9165,16.539,
1142,20.8952,16.7043,
1152,20.8963,16.8341,
1162,20.8959,16.8855,
1172,20.9236,16.9261,
1182,20.8835,16.7693,
1192,20.8782,16.5654,
1202,20.894,16.4715,
1212,20.8765,16.4227,
1222,20.8824,16.3321,
1232,20.8683,16.4079,
1242,20.8702,16.4699,
1252,20.9023,16.5086,
1262,20.8822,16.6552,
1272,20.8578,16.7255,
1282,20.8422,16.7979,
1292,20.8351,16.829,
1302,20.8652,16.9206,
1312,20.8631,16.8705,
1322,20.8294,16.8086,
1332,20.8261,16.8621,
1342,20.8138,16.8687,
1352,20.8261,16.8309,
1362,20.8565,16.8537,
1372,20.8177,16.7802,
1382,20.7937,16.7217,
1392,20.8349,16.6409,
1402,20.8376,16.4988,
1412,20.7889,16.4817,
1422,20.7754,16.4502,
1432,20.7712,16.5153,
1442,20.7823,16.4851,
1452,20.7651,16.3969,
1462,20.759,16.416,
1472,20.7596,16.573,
1482,20.7653,16.5885,
1492,20.7601,16.5934,
1502,20.7804,16.5911,
1512,20.7661,16.5601,
1522,20.7537,16.4677,
1532,20.7399,16.3562,
1542,20.7573,16.3392,
1552,20.7599,16.3738,
1562,20.7451,16.4333,
1572,20.7422,16.3766,
1582,20.7403,16.3363,
1592,20.7548,16.2937,
1602,20.7538,16.2797,
1612,20.7464,16.3069,
1622,20.7622,16.3001,
1632,20.7476,16.3421,
1642,20.7807,16.4621,
1652,20.7529,16.3787,
1662,20.7733,16.3261,
1672,20.7346,16.4865,
1682,20.7567,16.5656,
1692,20.7638,16.4877,
1702,20.7754,16.5305,
1712,20.7798,16.5934,
1722,20.7521,16.7434,
1732,20.746,16.7887,
1742,20.7352,16.7759,
1752,20.7407,16.6283,
1762,20.7375,16.8415,
1772,20.7533,16.9977,
1782,20.7516,16.9376,
1792,20.7594,16.8758,
1802,20.7197,16.7687,
1812,20.7308,16.7295,
1822,20.7516,16.5597,
1832,20.7311,16.6255,
1842,20.7354,16.679,
1852,20.7645,16.6311,
1862,20.7613,16.5908,
1872,20.779,16.5091,
1882,20.7909,16.4687,
1892,20.7538,16.4174,
1902,20.7472,16.4545,
1912,20.7332,16.4274,
1922,20.7884,16.4954,
1932,20.7474,16.3763,
1942,20.7359,16.3832,
1952,20.7582,16.4071,
1962,20.7447,16.4074,
1972,20.7506,16.4601,
1982,20.7542,16.4087,
1992,20.7468,16.3936,
2002,20.7699,16.393,
2012,20.7451,16.4485,
2022,20.7535,16.3686,
2032,20.7582,16.3956,
2042,20.7405,16.4275,
2052,20.7601,16.4231,
2062,20.7865,16.575,
2072,20.7613,16.4529,
2082,20.7607,16.3437,
2092,20.7605,16.3162,
2102,20.7693,16.3487,
2112,20.7468,16.5334,
2122,20.7971,16.6517,
2132,20.7811,16.5971,
2142,20.7752,16.4455,
2152,20.7521,16.4489,
2162,20.7912,16.4631,
2172,20.751,16.3705,
2182,20.8059,16.5459,
2192,20.7659,16.7626,
2202,20.7468,16.7899,
2212,20.7794,16.8731,
2222,20.7784,17.0405,
2232,20.7647,16.981,
2242,20.763,17.0089,
2252,20.7582,17.0313,
2262,20.8135,17.0121,
2272,20.7529,17.0961,
2282,20.7468,17.1431,
2292,20.7703,17.0452,
2302,20.78,16.9894,
2312,20.8015,17.0069,
2322,20.767,16.8096,
2332,20.7544,16.687,
2342,20.7542,16.4413,
2352,20.7949,16.5494,
2362,20.7777,16.7453,
2372,20.8094,16.5453,
2382,20.7777,16.258,
2392,20.7798,16.3589,
2402,20.7716,16.3595,
2412,20.7739,16.2436,
2422,20.7922,16.2412,
2432,20.7994,16.5165,
2442,20.7594,16.7121,
2452,20.7516,16.8168,
2462,20.8187,16.9067,
2472,20.7744,16.7019,
2482,20.7722,16.3642,
2492,20.7718,16.3688,
2502,20.7956,16.5571,
2512,20.7525,16.6513,
2522,20.7456,16.6694,
2532,20.725,16.7603,
2542,20.7332,16.7793,
2552,20.7086,16.769,
2562,20.7018,16.7212,
2572,20.7073,16.6847,
2582,20.7052,16.7001,
2592,20.7203,16.747,
2602,20.7109,16.7163,
2612,20.7075,16.743,
2622,20.6963,16.6671,
2632,20.7262,16.6254,
2642,20.7294,16.5638,
2652,20.6951,16.4182,
2662,20.7041,16.3132,
2672,20.7415,16.2533,
2682,20.7054,16.3544,
2692,20.6995,16.4626,
2702,20.6827,16.5043,
2712,20.6854,16.5145,
2722,20.7235,16.5225,
