timestamp,temperature,relative_humidity,
969,22.4916,17.277,
1029,22.3112,16.4975,
1089,22.1756,16.5735,
1149,22.1317,16.6218,
1209,22.0505,16.5659,
1270,21.9457,16.7316,
1330,21.9011,17.0537,
1390,21.8552,17.1599,
1450,21.8448,16.4106,
1510,21.888,16.6041,
1571,21.8868,17.0057,
1631,21.7882,16.7538,
1691,21.7884,16.494,
1751,21.8485,17.1284,
1811,21.826,16.3091,
1871,21.8302,16.3752,
1932,21.9038,16.8052,
1992,21.8212,16.6897,
2052,21.8079,16.9298,
2112,21.7935,16.6306,
2172,21.607,17.1541,
2233,21.6078,16.996,
2293,21.631,16.8993,
2353,21.624,16.6295,
2413,21.6568,16.5458,
2473,21.6985,16.2846,
2533,21.7079,16.0581,
2594,21.7033,16.0698,
2654,21.7319,16.3551,
2714,21.6831,16.344,
2774,21.7308,16.3714,
2834,21.6907,15.9016,
2895,21.6785,16.3739,
2955,21.6509,17.1304,
3015,21.6789,17.052,
3075,21.6721,16.4479,
3135,21.6534,16.6757,
3195,21.6358,17.0422,
3256,21.6114,16.8775,
3316,21.5818,16.735,
3376,21.6673,16.6091,
3436,21.6608,16.8766,
3496,21.7899,16.3342,
3557,21.7957,16.5665,
3617,21.7142,16.7806,
3677,21.7134,17.3369,
3737,21.6383,16.3857,
3797,21.6694,16.5086,
3858,21.7029,16.9037,
3918,21.7052,16.431,
3978,21.7138,16.24,
4038,21.6898,16.0611,
4098,21.785,16.5894,
4158,21.8849,15.8901,
4219,21.8817,15.9298,
4279,21.9255,15.5128,
4339,21.9265,16.2253,
4399,21.9265,16.5886,
4459,22.0159,16.3649,
4520,22.0718,16.257,
4580,22.0274,16.7474,
4640,22.0407,16.0809,
4700,22.0915,16.6333,
4760,22.006,15.9585,
4820,21.9702,15.9744,
4881,21.9166,15.4582,
4941,21.8903,16.1106,
5001,21.9457,15.8988,
5061,21.9688,16.1591,
5121,21.845,17.214,
5182,21.8746,16.2652,
5242,21.8349,16.5106,
5302,21.8721,16.8195,
5362,21.907,16.1334,
5422,21.8828,16.3752,
5483,21.9522,16.5476,
5543,21.9435,15.8677,
5603,21.9246,16.2733,
