timestamp,temperature,relative_humidity,
1577,21.9402,15.9801,
1588,21.9274,15.3964,
1598,21.9343,15.5644,
1608,21.9215,15.8499,
1619,21.9414,16.5069,
1629,21.9673,16.2333,
1639,21.9976,15.9003,
1649,21.9887,15.8895,
1659,21.9555,15.4165,
1670,21.9677,15.9024,
1680,21.9362,16.1117,
1690,21.9572,15.8447,
1700,21.953,15.4207,
1710,21.9461,15.2081,
1721,21.9477,15.8113,
1731,21.9301,15.449,
1741,21.888,15.3028,
1751,21.8836,15.638,
1761,21.8746,16.1634,
1772,21.8714,15.9778,
1782,21.8767,15.6952,
1792,21.8721,16.112,
1802,21.9129,16.279,
1812,21.8937,16.4574,
1823,21.8961,16.399,
1833,21.9373,16.5749,
1843,21.9231,16.3988,
1853,21.9139,16.3491,
1863,21.9103,16.0102,
1874,21.9147,15.6406,
1884,21.9246,15.6835,
1894,21.9328,15.6148,
