timestamp,temperature,relative_humidity,
60591,19.7599,18.7677,
60651,19.8946,19.1695,
60711,19.9171,19.3956,
60771,19.8965,19.151,
60831,19.9121,18.6501,
60892,19.8873,18.5202,
60952,19.8845,18.5766,
61012,19.8664,18.5328,
61072,19.8675,18.7466,
61132,19.8665,18.5596,
61192,19.8887,18.3357,
61253,19.9247,18.1306,
61313,19.9348,17.678,
61373,19.8778,17.9194,
61433,19.8889,17.9573,
61493,19.8479,17.4684,
61554,19.8463,17.4788,
61614,19.8624,17.237,
61674,19.8843,17.955,
61734,19.9282,17.2941,
61794,19.8835,17.3284,
61854,19.8774,17.6825,
61915,19.8994,17.2361,
61975,19.882,17.2026,
62035,19.8631,17.3825,
62095,19.9383,17.9591,
62155,19.8644,18.259,
62216,19.8952,18.3085,
62276,19.9383,18.0143,
62336,19.886,17.8011,
62396,19.8315,17.8175,
62456,19.8372,18.1312,
62517,19.8627,18.1012,
62577,19.8578,18.2257,
62637,19.8843,17.9671,
62697,19.9379,18.2379,
62757,19.9228,18.2814,
62817,19.9348,18.4154,
62878,19.9413,18.4258,
62938,19.9377,18.0211,
62998,19.9257,18.1481,
63058,19.9436,18.2882,
63118,19.9577,17.8633,
63179,20.2772,19.2203,
63239,20.2455,17.7515,
63299,20.2993,17.8208,
63359,20.2993,17.4089,
63419,20.3098,17.937,
63479,20.3384,18.0275,
63540,20.3041,18.599,
63600,20.3489,18.3256,
63660,20.2991,18.6643,
63720,20.2944,18.3222,
63780,20.3182,18.8622,
63841,20.2738,18.1755,
63901,20.2761,18.2165,
63961,20.2829,18.1004,
64021,20.281,18.3672,
64081,20.2677,18.0634,
64141,20.2917,18.1204,
64202,20.289,18.9467,
64262,20.2547,18.7085,
64322,20.273,18.0069,
64382,20.315,18.0741,
64442,20.2986,17.8161,
64503,20.2944,18.1848,
64563,20.3384,18.0739,
64623,20.278,17.8543,
64683,20.3098,17.6969,
64743,20.3102,17.944,
64804,20.3653,17.7441,
64864,20.3962,17.6779,
64924,20.3861,17.8038,
64984,20.4113,17.8503,
65044,20.3821,17.8223,
65104,20.4117,18.0525,
65165,20.4378,17.741,
65225,20.422,17.6761,
65285,20.4592,17.3789,
65345,20.4,17.4676,
65405,20.4206,17.3005,
65466,20.3697,17.5242,
65526,20.3726,17.8926,
65586,20.4128,18.0578,
65646,20.4288,17.7536,
65706,20.4279,17.9031,
65766,20.4616,18.0449,
65827,20.4786,17.6552,
65887,20.4048,17.9681,
65947,20.4044,18.4263,
66007,20.4059,17.6263,
66067,20.4216,17.6022,
66128,20.4004,17.4252,
66188,20.4334,17.4571,
66248,20.4241,17.4648,
66308,20.45,17.544,
66368,20.4653,17.466,
66429,20.5088,17.7606,
