timestamp,temperature,relative_humidity,
2,20.9072,14.8509,
62,20.6345,13.362,
122,20.813,13.6372,
182,20.7634,13.7264,
242,20.6827,13.2377,
302,20.6917,13.0895,
362,20.8296,13.406,
422,21.0424,13.3681,
482,20.6383,12.2194,
542,19.7504,12.7482,
602,19.5471,13.2445,
662,20.0632,13.283,
722,20.4065,13.4262,
782,20.6787,12.7242,
842,20.7477,13.0197,
902,21.0737,12.6428,
962,21.0621,13.0916,
1022,21.2112,13.0362,
1082,21.315,12.8253,
1142,21.245,13.1383,
1202,21.1864,13.1189,
1262,21.0949,13.0383,
1322,20.9608,13.2172,
1382,20.8376,13.3233,
1442,20.8359,13.2167,
1502,20.8692,12.9528,
1562,20.8172,12.9734,
1622,20.8546,12.8455,
1682,20.7996,13.0683,
1742,20.8437,12.9103,
1801,20.8233,12.9819,
1861,21.0003,12.8955,
1921,21.104,13.1676,
1981,21.0945,13.0214,
2041,21.2135,12.8686,
2101,21.1899,12.9109,
2161,21.2934,12.8803,
2221,21.4016,12.9623,
2281,21.488,12.5607,
2341,21.7748,12.489,
2401,21.5977,12.3702,
2461,21.4557,12.333,
2521,21.5315,12.5051,
2581,21.5031,12.1951,
2641,21.5738,12.5002,
2701,21.6835,12.1145,
2761,21.7081,11.9825,
2821,21.6122,11.3594,
2881,21.4561,11.4993,
2941,21.3484,11.5995,
3001,21.33,11.8973,
3061,21.2654,12.2918,
3121,21.3291,12.6605,
3181,21.4115,12.1257,
3241,21.2253,11.4667,
3301,21.2381,12.0399,
3361,21.3463,11.4854,
3421,21.6227,11.8698,
3481,21.8414,11.7239,
3541,21.8628,11.9588,
3601,21.6762,12.069,
3661,21.5904,11.8692,
3721,21.7485,11.7723,
3781,21.7585,11.667,
3841,21.7867,11.883,
3901,21.8605,12.1297,
3961,21.8887,11.9097,
4021,21.875,11.713,
4081,21.8397,11.7238,
4141,21.8471,11.6342,
4201,21.7275,11.6095,
4261,21.7506,11.6228,
4321,21.7178,11.8711,
4381,21.7769,11.4044,
4441,21.8178,11.6603,
4501,21.7041,11.2811,
4561,21.5925,11.5268,
4621,21.5923,12.1517,
