timestamp,temperature,relative_humidity,
2,21.5302,15.9524,
62,21.3608,15.3804,
122,21.2402,16.5076,
182,21.1088,16.2937,
242,21.0604,16.2711,
302,21.0037,16.0328,
362,21.0026,16.3912,
422,20.981,15.9781,
482,21.018,15.8698,
542,20.8942,15.7475,
602,20.8635,16.3907,
662,20.7332,15.4592,
722,20.6079,15.5033,
782,20.6409,15.6586,
842,20.657,15.5519,
902,20.6558,15.6249,
962,20.7109,15.5027,
1022,20.6539,15.523,
1082,20.6579,15.7358,
1141,20.6455,15.6354,
1201,20.657,15.6916,
1261,20.657,15.713,
1321,20.6821,15.8231,
1381,20.698,15.7943,
1441,20.6861,15.9146,
1501,20.6777,16.0086,
1561,20.677,16.0781,
1621,20.6676,16.2366,
1681,20.6795,16.1714,
1741,20.6301,15.9617,
1801,20.6478,15.8497,
1861,20.6264,16.0243,
1921,20.644,15.8041,
1981,20.6241,15.9056,
2041,20.6318,15.8512,
2101,20.5663,16.2208,
2161,20.5316,16.0906,
2221,20.5492,15.9282,
2281,20.5315,15.9562,
2341,20.5349,15.8758,
2401,20.574,15.8404,
2461,20.5753,15.8217,
2521,20.5669,15.9427,
2581,20.5555,15.6576,
2641,20.5728,15.4999,
2701,20.5685,15.5909,
2761,20.593,15.7582,
2821,20.5904,15.7081,
2881,20.6078,15.9115,
2941,20.593,15.6567,
3001,20.6371,15.8627,
3061,20.6263,15.8375,
3121,20.6472,16.1126,
3181,20.6352,16.2197,
3241,20.5858,16.315,
3301,20.6426,16.1367,
3361,20.5877,16.3077,
3421,20.594,16.0778,
3481,20.5818,15.9961,
3541,20.6005,16.0058,
3601,20.5896,16.0419,
3661,20.5482,16.3608,
3721,20.5555,16.1303,
3781,20.5524,15.9382,
3841,20.549,16.0053,
3901,20.5797,15.8495,
3961,20.532,16.4509,
4021,20.5078,16.5467,
4081,20.529,16.4697,
4141,20.4998,16.4042,
4201,20.5316,16.4202,
4261,20.5582,15.8459,
4321,20.5339,15.8134,
4380,20.5326,15.9644,
4440,20.5568,16.2542,
4500,20.5822,16.1559,
4560,20.5814,16.1458,
4620,20.5429,16.1323,
4680,20.5728,16.3343,
4740,20.5412,16.0017,
4800,20.5582,16.1609,
4860,20.5311,16.1629,
4920,20.536,16.1449,
4980,20.5623,16.1785,
5040,20.546,16.0366,
5100,20.5498,15.8898,
5160,20.5416,16.1861,
5220,20.5408,16.4678,
5280,20.5328,16.1286,
5340,20.5316,16.0224,
5400,20.5503,15.8297,
5460,20.5143,15.7165,
5520,20.5063,15.7139,
5580,20.5376,15.7604,
5640,20.4935,15.8694,
5700,20.5015,15.9791,
5760,20.511,16.0608,
5820,20.536,16.1802,
5880,20.5103,16.0837,
5940,20.5639,16.1843,
6000,20.5427,16.2765,
6060,20.524,16.2989,
6120,20.55,16.0986,
6180,20.5423,15.8422,
6240,20.5017,16.0441,
6300,20.5193,15.871,
6360,20.4664,16.321,
6420,20.4477,16.3635,
6480,20.4796,16.3102,
6540,20.4633,16.4848,
6600,20.4731,16.2639,
6660,20.4763,16.4239,
6720,20.4738,15.9705,
6780,20.4094,15.8909,
6840,20.401,16.243,
6900,20.4098,16.3536,
6960,20.4365,16.0451,
7020,20.4788,15.8565,
7080,20.5028,15.731,
7140,20.5265,15.7405,
7200,20.5286,15.7375,
7260,20.5482,16.1828,
7320,20.5116,15.6096,
7380,20.5129,15.4977,
7440,20.474,16.0525,
7500,20.5149,15.7229,
7560,20.511,15.8428,
7619,20.4828,16.1764,
7679,20.4557,16.4072,
7739,20.4927,16.1085,
7799,20.4916,16.3275,
7859,20.5084,16.3258,
7919,20.5007,16.0645,
7979,20.5149,15.8446,
8039,20.4983,15.9713,
8099,20.4954,15.8103,
8159,20.4966,15.7119,
8219,20.4487,15.6867,
8279,20.4903,15.5575,
8339,20.4256,15.7616,
8399,20.4691,16.0428,
8459,20.5059,15.7989,
8519,20.4782,15.8534,
8579,20.2947,15.9772,
8639,20.257,15.98,
8699,20.1675,15.5759,
8759,20.0939,15.5591,
8819,20.1328,15.549,
8879,20.1877,15.4682,
8939,20.2148,15.6724,
8999,20.2701,15.6464,
9059,20.3089,15.7593,
9119,20.3302,15.8223,
9179,20.3047,15.9384,
9239,20.3142,15.7318,
9299,20.3087,15.6558,
9359,20.3096,15.6067,
9419,20.3194,15.6502,
9479,20.3306,15.8509,
9539,20.3716,15.8471,
9599,20.3312,15.7024,
9659,20.3123,15.5679,
